2013011907,Scattered Clouds
2013011908,Clear
2013011909,Clear
2013011910,Clear
2013011911,Clear
2013011912,Clear
2013011913,Clear
2013011914,Clear
2013011915,Clear
2013011916,Clear
2013011917,Clear
2013011918,Clear
2013011919,Clear
2013011920,Clear
2013011921,Clear
2013011922,Clear
2013011923,Clear
2013012000,Clear
2013012001,Clear
2013012002,Clear
2013012003,Clear
2013012004,Clear
2013012005,Clear
2013012006,Clear
2013012007,Clear
2013012008,Clear
2013012009,Clear
2013012010,Clear
2013012011,Clear
2013012012,Clear
2013012013,Clear
2013012014,Clear
2013012015,Clear
2013012016,Clear
2013012017,Clear
2013012018,Clear
2013012019,Clear
2013012020,Clear
2013012021,Clear
2013012022,Clear
2013012023,Clear
2013012100,Clear
2013012101,Clear
2013012102,Clear
2013012103,Clear
2013012104,Clear
2013012105,Clear
2013012106,Clear
2013012107,Clear
2013012108,Overcast
2013012109,Overcast
2013012110,Overcast
2013012111,Overcast
2013012112,Overcast
2013012113,Overcast
2013012114,Overcast
2013012115,Overcast
2013012116,Overcast
2013012117,Overcast
2013012118,Overcast
2013012119,Overcast
2013012120,Unknown
2013012121,Overcast
2013012122,Mostly Cloudy
2013012123,Clear
2013012200,Partly Cloudy
2013012201,Clear
2013012202,Scattered Clouds
2013012203,Clear
2013012204,Mostly Cloudy
2013012205,Overcast
2013012206,Mostly Cloudy
2013012207,Clear
2013012208,Overcast
2013012209,Mostly Cloudy
2013012210,Partly Cloudy
2013012211,Mostly Cloudy
2013012212,Clear
2013012213,Clear
2013012214,Clear
2013012215,Partly Cloudy
2013012216,Scattered Clouds
2013012217,Clear
2013012218,Clear
2013012219,Clear
2013012220,Overcast
2013012221,Partly Cloudy
2013012222,Clear
2013012223,Clear
2013012300,Clear
2013012301,Clear
2013012302,Clear
2013012303,Clear
2013012304,Clear
2013012305,Clear
2013012306,Clear
2013012307,Clear
2013012308,Clear
2013012309,Partly Cloudy
2013012310,Partly Cloudy
2013012311,Mostly Cloudy
2013012312,Overcast
2013012313,Overcast
2013012314,Overcast
2013012315,Mostly Cloudy
2013012316,Mostly Cloudy
2013012317,Partly Cloudy
2013012318,Clear
2013012319,Clear
2013012320,Clear
2013012321,Clear
2013012322,Clear
2013012323,Scattered Clouds
2013012400,Mostly Cloudy
2013012401,Scattered Clouds
2013012402,Clear
2013012403,Clear
2013012404,Overcast
2013012405,Overcast
2013012406,Mostly Cloudy
2013012407,Clear
2013012408,Clear
2013012409,Clear
2013012410,Clear
2013012411,Clear
2013012412,Clear
2013012413,Partly Cloudy
2013012414,Clear
2013012415,Clear
2013012416,Clear
2013012417,Clear
2013012418,Clear
2013012419,Clear
2013012420,Clear
2013012421,Clear
2013012422,Clear
2013012423,Clear
2013012500,Clear
2013012501,Clear
2013012502,Clear
2013012503,Clear
2013012504,Clear
2013012505,Clear
2013012506,Clear
2013012507,Clear
2013012508,Clear
2013012509,Clear
2013012510,Clear
2013012511,Clear
2013012512,Clear
2013012513,Partly Cloudy
2013012514,Overcast
2013012515,Overcast
2013012516,Overcast
2013012517,Light Snow
2013012518,Light Snow
